"N","X","X.1","sz","delta","ttau","r","est.r","pmiss","conver.m","conver1","conver2","conver3","conver4","bias.mu1","bias.mu2","bias.mu3","bias.mu4","bias.mu1.uni","bias.mu2.uni","bias.mu3.uni","bias.mu4.uni","bias.mu1.se","bias.mu2.se","bias.mu3.se","bias.mu4.se","bias.mu1.se.uni","bias.mu2.se.uni","bias.mu3.se.uni","bias.mu4.se.uni","bias.tau1","bias.tau2","bias.tau3","bias.tau4","bias.tau1.uni","bias.tau2.uni","bias.tau3.uni","bias.tau4.uni","bias.rho12","bias.rho13","bias.rho14","bias.rho23","bias.rho24","bias.rho34","cover.mu1","cover.mu2","cover.mu3","cover.mu4","cover.mu1.uni","cover.mu2.uni","cover.mu3.uni","cover.mu4.uni","rmse.mu1","rmse.mu2","rmse.mu3","rmse.mu4","rmse.mu1.uni","rmse.mu2.uni","rmse.mu3.uni","rmse.mu4.uni","rmse.tau1","rmse.tau2","rmse.tau3","rmse.tau4","rmse.tau1.uni","rmse.tau2.uni","rmse.tau3.uni","rmse.tau4.uni","power.mu1","power.mu2","power.mu3","power.mu4","power.mu1.uni","power.mu2.uni","power.mu3.uni","power.mu4.uni","powerQ","powerQ1","powerQ2","powerQ3","powerQ4"
"1",24,1,1,10,0.2,0,-0.3,-0.3,0,1,1,1,1,1,-0.012778877,-0.016038159,-0.019203434,-0.005417903,-0.007579294,-0.014396293,-0.018401936,-0.007440308,0.113362817,0.108440712,0.120507627,0.100627821,0.066669297,0.054149402,0.08837258,0.059726236,0.020446553,0.020037553,0.019329447,0.019515952,0.011828461,0.010690671,0.01119686,0.010732877,-0.25962084,-0.196804481,-0.435788294,-0.39298629,-0.306509336,-0.295976633,0.962,0.964,0.968,0.966,0.954,0.957,0.96,0.956,0.085393971,0.08562837,0.084428711,0.085975548,0.084169815,0.084640605,0.082314735,0.084244863,0.034237775,0.032724345,0.0314047,0.031286613,0.02789972,0.025120818,0.025634389,0.024389704,0.581,0.557,0.552,0.57,0.618,0.605,0.606,0.608,0.041,0.057,0.055,0.042,0.042
"2",24,1,1,20,0.2,0,-0.3,-0.3,0,1,1,1,1,1,-0.021052847,-0.019049008,-0.020545222,-0.00655591,-0.01970792,-0.016239909,-0.020198722,-0.006892493,0.151628798,0.095407411,0.115424859,0.135353921,0.120970145,0.05433473,0.079156821,0.095171292,0.013898125,0.013151229,0.013692483,0.014576323,0.008134111,0.00733722,0.00787089,0.008705913,-0.288804479,-0.226544622,-0.171438267,-0.330197819,-0.336724913,-0.195551428,0.97,0.972,0.973,0.973,0.967,0.963,0.966,0.966,0.058212016,0.060880165,0.059999931,0.059131428,0.057589569,0.060828229,0.059711742,0.059012662,0.020948545,0.02001114,0.020631883,0.022208313,0.016845118,0.016059341,0.016363311,0.018371914,0.864,0.864,0.853,0.872,0.879,0.877,0.875,0.883,0.037,0.041,0.048,0.046,0.056
"3",24,1,1,50,0.2,0,-0.3,-0.3,0,1,1,1,1,1,-0.015349298,-0.017634747,-0.023874104,-0.007079932,-0.013092398,-0.016877567,-0.02151365,-0.005660701,0.066963722,0.071399977,0.040555198,0.028045627,0.040104723,0.045215639,0.015855435,0.006532766,0.008102055,0.008687637,0.00840671,0.008857456,0.004458668,0.004884304,0.00483955,0.005195509,-0.208447697,-0.284325459,-0.345326019,-0.330821906,-0.252978438,-0.198535161,0.97,0.969,0.956,0.957,0.966,0.965,0.953,0.95,0.039486435,0.039507444,0.040716169,0.041083313,0.039516182,0.039488341,0.040691307,0.04096786,0.011803426,0.012647059,0.012523655,0.012681722,0.009340569,0.010245265,0.010239521,0.0102328,1,0.998,0.997,0.995,0.999,0.998,1,0.997,0.046,0.037,0.056,0.05,0.041
"4",24,1,1,100,0.2,0,-0.3,-0.3,0,1,1,1,1,1,-0.00905138,-0.0271275,-0.012220982,-0.021516788,-0.006940573,-0.025452456,-0.010573817,-0.01977094,0.062721822,0.060708683,0.035232524,0.068879371,0.042766861,0.040054896,0.013659145,0.050861957,0.006069004,0.005832884,0.006022792,0.005993038,0.003364173,0.00321635,0.003358277,0.003389349,-0.234483695,-0.273536278,-0.205315099,-0.149937302,-0.510875472,-0.302676701,0.964,0.961,0.957,0.966,0.962,0.956,0.951,0.963,0.028414642,0.028878829,0.029200737,0.028503922,0.028443504,0.028905603,0.029298144,0.028468327,0.00865318,0.008415396,0.008700327,0.008675466,0.006915423,0.006625529,0.006970266,0.007027346,1,1,1,1,1,1,1,1,0.053,0.045,0.031,0.043,0.037
"5",24,1,1,300,0.2,0,-0.3,-0.3,0,1,1,1,1,1,-0.017971275,-0.018351429,-0.024165107,-0.019381334,-0.01572724,-0.01613065,-0.022106663,-0.017375241,0.024034945,0.056227839,0.026758915,0.015088722,0.012160085,0.043181051,0.013391876,0.00338653,0.002889712,0.002888793,0.002932407,0.003107294,0.00154807,0.001507961,0.001592481,0.001690435,-0.446224745,-0.08907848,-0.346132315,-0.360880555,-0.295206606,-0.3504994,0.948,0.953,0.952,0.946,0.946,0.949,0.949,0.947,0.017389086,0.016898098,0.017647641,0.017619101,0.017355319,0.016866963,0.017615382,0.017579883,0.00427571,0.004294996,0.004348001,0.004582485,0.003395827,0.003361355,0.003518023,0.003670481,1,1,1,1,1,1,1,1,0.025,0.027,0.026,0.038,0.037
"6",24,1,1,10,0.2,0.03,-0.3,-0.3,0,1,1,1,1,1,-0.024041678,-0.015762882,-0.019197875,-0.000989635,-0.023786081,-0.013413687,-0.016797071,0.002376328,0.018948241,-0.005549791,0.005884615,0.012953733,-0.029313978,-0.057135915,-0.03156377,-0.029719771,0.464423834,0.409821318,0.43095351,0.414523686,0.125008782,0.06489415,0.088918357,0.091858997,-0.014319994,-0.229291272,-0.372224962,-0.316744734,-0.242256019,-0.207069422,0.932,0.94,0.933,0.948,0.919,0.913,0.916,0.938,0.10546741,0.107308108,0.106374834,0.105261271,0.105261478,0.107432494,0.105002848,0.104884159,0.045664395,0.042660703,0.043481549,0.043687375,0.045172017,0.041847551,0.042809003,0.042786917,0.462,0.465,0.448,0.467,0.493,0.496,0.49,0.497,0.395,0.204,0.188,0.192,0.19
"7",24,1,1,20,0.2,0.03,-0.3,-0.3,0,1,1,1,1,1,-0.027536243,-0.026571809,-0.016796921,-0.002949174,-0.025948251,-0.024306399,-0.016006113,-0.002855929,0.054607926,0.040623576,0.00552414,0.028480058,0.033279376,0.007044119,-0.019472387,-0.005414798,0.161394916,0.153880913,0.1679188,0.18113189,-0.024333284,-0.042845748,-0.013568457,-0.006468808,-0.214940965,-0.08221669,-0.239433159,-0.168760199,-0.187612126,-0.142675623,0.955,0.949,0.95,0.951,0.948,0.94,0.944,0.945,0.071090665,0.072009511,0.074527009,0.072926364,0.070609738,0.072262704,0.07443428,0.073426331,0.029461224,0.027999163,0.028958457,0.029323895,0.030789267,0.029651616,0.030367322,0.03046209,0.739,0.735,0.724,0.761,0.752,0.761,0.745,0.777,0.579,0.273,0.278,0.27,0.283
"8",24,1,1,50,0.2,0.03,-0.3,-0.3,0,1,1,1,1,1,-0.013431722,-0.016965616,-0.025669835,-0.016765266,-0.010435989,-0.015519792,-0.023919664,-0.014405681,-0.001578064,0.009850128,-0.023203036,-0.008873254,-0.012114257,-0.00193737,-0.034024097,-0.019023654,-0.024870434,-0.022489951,0.006283887,0.012132487,-0.096815519,-0.101277404,-0.069313632,-0.056281752,-0.101106503,-0.130999766,-0.200790268,-0.219137514,-0.036241751,-0.073906261,0.952,0.95,0.939,0.946,0.945,0.944,0.936,0.943,0.047398067,0.046921167,0.048836588,0.048036508,0.047427462,0.046961796,0.048859363,0.048077943,0.018600034,0.018780902,0.019805062,0.019306156,0.020333451,0.02061317,0.02150951,0.020999665,0.988,0.985,0.976,0.98,0.988,0.984,0.975,0.981,0.898,0.46,0.443,0.461,0.485
"9",24,1,1,100,0.2,0.03,-0.3,-0.3,0,1,1,1,1,1,-0.014856724,-0.023979316,-0.014564298,-0.025321489,-0.012256052,-0.021482951,-0.01220149,-0.023013896,0.00929556,-0.004029918,-0.014872204,0.020429531,0.00863684,-0.004020164,-0.02111621,0.018911448,-0.092243183,-0.098952729,-0.099334994,-0.082455897,-0.105014727,-0.113628586,-0.116471439,-0.093319853,-0.129028136,-0.114208683,-0.097031204,-0.10169041,-0.078736318,-0.059421624,0.947,0.942,0.939,0.953,0.947,0.942,0.943,0.953,0.033661546,0.034277035,0.034432338,0.033589389,0.033624199,0.034181552,0.034571373,0.033565563,0.01436064,0.014809588,0.014930977,0.014893202,0.015391326,0.015815387,0.015985414,0.015736661,1,1,1,1,1,1,1,1,0.991,0.659,0.644,0.645,0.66
"10",24,1,1,300,0.2,0.03,-0.3,-0.3,0,1,1,1,1,1,-0.019203914,-0.020101732,-0.026690459,-0.017814684,-0.016773428,-0.017593063,-0.024157676,-0.015261128,-0.019118019,0.009154542,0.048319193,0.012141225,-0.017843886,0.011659567,0.049877372,0.01341556,-0.150072599,-0.142804329,-0.138630456,-0.128830678,-0.128062657,-0.121250831,-0.117919305,-0.10727593,-0.071332097,-0.041221415,-0.040170572,-0.04676914,0.005706387,-0.065752172,0.938,0.946,0.952,0.949,0.938,0.946,0.952,0.949,0.020523927,0.020027044,0.019637718,0.019918087,0.020496111,0.019962901,0.019551943,0.019887807,0.010372146,0.010033454,0.009740947,0.010557409,0.010176665,0.009891433,0.009587259,0.010452154,1,1,1,1,1,1,1,1,1,0.95,0.948,0.963,0.955
