sz,k,delta,ttau,r,est.r,pmiss,bias.mu1,bias.mu2,bias.mu1.uni,bias.mu2.uni,bias.mu1.se,bias.mu2.se,bias.mu1.se.uni,bias.mu2.se.uni,bias.tau1,bias.tau2,bias.tau1.uni,bias.tau2.uni,bias.rho,coverage.mu1,coverage.mu2,coverage.mu1.uni,coverage.mu2.uni,rmse.mu1,rmse.mu2,rmse.mu1.uni,rmse.mu2.uni,rmse.tau1,rmse.tau2,rmse.tau1.uni,rmse.tau2.uni,power.mu1,power.mu2,power.mu1.uni,power.mu2.uni,powerQ,powerQ1,powerQ2
24,10,0,0,0,-0.5,0,-0.001621628,-0.00077906,-0.002026259,-0.000813584,0.136386299,0.167619477,0.058257295,0.088763589,0.022529855,0.02308064,0.010884835,0.011497711,0.584205957,0.978,0.978,0.968,0.974,0.084066622,0.082200919,0.081096122,0.080628969,0.03943384,0.037586802,0.027577484,0.026250242,0.022,0.022,0.032,0.026,0.207,0.043,0.047
24,20,0,0,0,-0.5,0,0.001495065,0.002000567,0.001309364,0.001765675,0.09679001,0.149357784,0.017609313,0.068191737,0.01919411,0.020039139,0.006870812,0.007785658,0.890436836,0.972,0.97,0.957,0.964,0.062623038,0.060021254,0.062021403,0.059087638,0.026405474,0.028190936,0.01539216,0.016956153,0.028,0.03,0.043,0.036,0.31,0.035,0.046
24,50,0,0,0,-0.5,0,0.000780706,-0.000742034,0.000673725,-0.000888447,0.14558151,0.119467893,0.052951312,0.028965813,0.018944288,0.019090987,0.004633107,0.0047391,0.991075629,0.968,0.976,0.957,0.965,0.038916486,0.039856361,0.038460196,0.039338251,0.022476433,0.022508678,0.009676843,0.009549972,0.032,0.024,0.043,0.035,0.558,0.047,0.04
24,100,0,0,0,-0.5,0,0.000768164,0.000499336,0.000735344,0.000463666,0.18435661,0.118748765,0.080225099,0.019875571,0.019514119,0.019692726,0.003238844,0.003328084,0.999615598,0.986,0.97,0.968,0.956,0.027351983,0.02897898,0.027156639,0.028743892,0.021356326,0.021455752,0.006590938,0.006882656,0.014,0.03,0.032,0.044,0.786,0.03,0.045
24,300,0,0,0,-0.5,0,0.000385546,-0.000312794,0.000346456,-0.000360641,0.08395173,0.151205185,-0.018638103,0.040798028,0.01898505,0.019393738,0.001362281,0.001462097,0.999999994,0.965,0.971,0.944,0.949,0.017545738,0.016554588,0.01744547,0.016353518,0.019616977,0.020041921,0.003098172,0.003174973,0.035,0.029,0.056,0.051,0.992,0.023,0.023
24,10,0.2,0,0,-0.5,0,-0.025107306,-0.020154355,-0.023149065,-0.016159543,0.13423228,0.167433593,0.057156549,0.089753629,0.022410224,0.022936852,0.010853791,0.011483717,0.568601508,0.979,0.977,0.965,0.972,0.084448832,0.082384986,0.08146754,0.080819174,0.039339931,0.037593851,0.027485694,0.026331484,0.552,0.54,0.608,0.6,0.203,0.044,0.048
24,20,0.2,0,0,-0.5,0,-0.011445178,-0.008735908,-0.0088619,-0.006276444,0.096055794,0.145405772,0.017597177,0.065427419,0.019091028,0.019933952,0.00684206,0.007798591,0.874162334,0.973,0.968,0.959,0.96,0.062779002,0.060300543,0.062182474,0.059382263,0.026270165,0.028161065,0.015276648,0.01706146,0.837,0.853,0.87,0.9,0.304,0.033,0.051
24,50,0.2,0,0,-0.5,0,-0.012974466,-0.020686978,-0.01050686,-0.018415658,0.146974311,0.117327223,0.054647375,0.027601907,0.019040478,0.019066063,0.004723631,0.00476057,0.992153822,0.967,0.976,0.953,0.966,0.039041892,0.040207697,0.038614661,0.039640085,0.022579332,0.022503011,0.009782399,0.00958841,0.997,1,0.999,1,0.551,0.048,0.037
24,100,0.2,0,0,-0.5,0,-0.01407208,-0.015390833,-0.0113584,-0.012682719,0.187138764,0.115335262,0.083304775,0.017506365,0.019591704,0.019677403,0.003325839,0.003374037,0.99957621,0.983,0.966,0.966,0.952,0.027483983,0.029277407,0.027231075,0.028974715,0.02143688,0.021448952,0.006718428,0.006937369,1,1,1,1,0.779,0.032,0.048
24,300,0.2,0,0,-0.5,0,-0.017668057,-0.021965801,-0.014802417,-0.019195634,0.079074755,0.152351035,-0.022370061,0.042475997,0.019000788,0.019404222,0.001424249,0.001504011,0.999999993,0.963,0.966,0.936,0.949,0.018005882,0.01713953,0.017820462,0.016813795,0.019637968,0.020063937,0.003206907,0.00320692,1,1,1,1,0.992,0.023,0.022
24,10,0,0.03,0,-0.5,0,-0.000805539,0.000246474,-0.001159713,-0.000157529,0.06772585,0.071942577,0.012356063,0.014644819,0.486395026,0.621893491,0.082276313,0.194877193,0.515451788,0.957,0.953,0.945,0.943,0.099972879,0.101462496,0.09911735,0.100722996,0.050981364,0.052690284,0.044934959,0.047186332,0.043,0.047,0.055,0.057,0.555,0.178,0.211
